image,category,label
ISIC_0030722,VASC,0
ISIC_0031215,VASC,0
ISIC_0026349,VASC,0
ISIC_0031090,VASC,0
ISIC_0032557,VASC,0
ISIC_0033844,VASC,0
ISIC_0027937,VASC,0
ISIC_0029877,VASC,0
ISIC_0034214,VASC,0
ISIC_0033565,VASC,0
ISIC_0032692,VASC,0
ISIC_0025425,VASC,0
ISIC_0027563,VASC,0
ISIC_0031270,VASC,0
ISIC_0029439,VASC,0
ISIC_0030283,VASC,0
ISIC_0030882,VASC,0
ISIC_0031901,VASC,0
ISIC_0031706,VASC,0
ISIC_0031346,VASC,0
ISIC_0027210,VASC,0
ISIC_0028146,VASC,0
ISIC_0027269,VASC,0
ISIC_0031276,VASC,0
ISIC_0033762,VASC,0
ISIC_0025680,VASC,0
ISIC_0033092,VASC,0
ISIC_0031955,VASC,0
ISIC_0028188,VASC,0
ISIC_0031950,VASC,0
ISIC_0027522,VASC,0
ISIC_0034196,VASC,0
ISIC_0031217,VASC,0
ISIC_0032932,VASC,0
ISIC_0026336,VASC,0
ISIC_0030956,VASC,0
ISIC_0029099,VASC,0
ISIC_0032919,VASC,0
ISIC_0032538,VASC,0
ISIC_0024867,VASC,0
ISIC_0031093,VASC,0
ISIC_0033158,VASC,0
ISIC_0029404,VASC,0
ISIC_0030070,VASC,0
ISIC_0030770,VASC,0
ISIC_0024402,VASC,0
ISIC_0031103,VASC,0
ISIC_0025250,VASC,0
ISIC_0033254,VASC,0
ISIC_0031648,VASC,0
ISIC_0033969,VASC,0
ISIC_0025924,VASC,0
ISIC_0027672,VASC,0
ISIC_0030104,VASC,0
ISIC_0024904,VASC,0
ISIC_0025807,VASC,0
ISIC_0025628,VASC,0
ISIC_0032890,VASC,0
ISIC_0026068,VASC,0
ISIC_0026393,VASC,0
ISIC_0026163,VASC,0
ISIC_0026092,VASC,0
ISIC_0032866,VASC,0
ISIC_0029608,VASC,0
ISIC_0026467,VASC,0
ISIC_0030606,VASC,0
ISIC_0029889,VASC,0
ISIC_0025612,VASC,0
ISIC_0025677,VASC,0
ISIC_0028714,VASC,0
ISIC_0027159,VASC,0
ISIC_0033349,VASC,0
ISIC_0032240,VASC,0
ISIC_0028431,VASC,0
ISIC_0032775,VASC,0
ISIC_0025596,VASC,0
ISIC_0032057,VASC,0
ISIC_0029448,VASC,0
ISIC_0027903,VASC,0
ISIC_0028885,VASC,0
ISIC_0033031,VASC,0
ISIC_0031197,VASC,0
ISIC_0031201,VASC,0
ISIC_0033749,VASC,0
ISIC_0026981,AKIEC,1
ISIC_0025577,AKIEC,1
ISIC_0029573,AKIEC,1
ISIC_0026575,AKIEC,1
ISIC_0030785,AKIEC,1
ISIC_0026848,AKIEC,1
ISIC_0026178,AKIEC,1
ISIC_0031692,AKIEC,1
ISIC_0025089,AKIEC,1
ISIC_0030297,AKIEC,1
ISIC_0031918,AKIEC,1
ISIC_0026152,AKIEC,1
ISIC_0029067,AKIEC,1
ISIC_0030158,AKIEC,1
ISIC_0024511,AKIEC,1
ISIC_0029362,AKIEC,1
ISIC_0031940,AKIEC,1
ISIC_0033550,AKIEC,1
ISIC_0024925,AKIEC,1
ISIC_0030036,AKIEC,1
ISIC_0028619,AKIEC,1
ISIC_0028644,AKIEC,1
ISIC_0027896,AKIEC,1
ISIC_0028224,AKIEC,1
ISIC_0030730,AKIEC,1
ISIC_0027795,AKIEC,1
ISIC_0027343,AKIEC,1
ISIC_0031743,AKIEC,1
ISIC_0027178,AKIEC,1
ISIC_0032356,AKIEC,1
ISIC_0033456,AKIEC,1
ISIC_0030142,AKIEC,1
ISIC_0027958,AKIEC,1
ISIC_0025948,AKIEC,1
ISIC_0029860,AKIEC,1
ISIC_0029930,AKIEC,1
ISIC_0024946,AKIEC,1
ISIC_0031927,AKIEC,1
ISIC_0025605,AKIEC,1
ISIC_0024913,AKIEC,1
ISIC_0030826,AKIEC,1
ISIC_0027615,AKIEC,1
ISIC_0025831,AKIEC,1
ISIC_0029309,AKIEC,1
ISIC_0031119,AKIEC,1
ISIC_0026149,AKIEC,1
ISIC_0024646,AKIEC,1
ISIC_0032371,AKIEC,1
ISIC_0030591,AKIEC,1
ISIC_0025196,AKIEC,1
ISIC_0030133,AKIEC,1
ISIC_0028990,AKIEC,1
ISIC_0030143,AKIEC,1
ISIC_0026492,AKIEC,1
ISIC_0033866,AKIEC,1
ISIC_0028820,AKIEC,1
ISIC_0028158,AKIEC,1
ISIC_0031578,AKIEC,1
ISIC_0030877,AKIEC,1
ISIC_0030827,AKIEC,1
ISIC_0025825,AKIEC,1
ISIC_0026100,AKIEC,1
ISIC_0024372,AKIEC,1
ISIC_0032199,AKIEC,1
ISIC_0029932,AKIEC,1
ISIC_0027303,AKIEC,1
ISIC_0032422,AKIEC,1
ISIC_0028558,AKIEC,1
ISIC_0029133,AKIEC,1
ISIC_0029417,AKIEC,1
ISIC_0031198,AKIEC,1
ISIC_0028232,AKIEC,1
ISIC_0030602,AKIEC,1
ISIC_0032238,AKIEC,1
ISIC_0027184,AKIEC,1
ISIC_0030825,AKIEC,1
ISIC_0025811,AKIEC,1
ISIC_0032349,AKIEC,1
ISIC_0027172,AKIEC,1
ISIC_0029638,AKIEC,1
ISIC_0024654,AKIEC,1
ISIC_0026729,AKIEC,1
ISIC_0026857,AKIEC,1
ISIC_0032206,AKIEC,1
ISIC_0025069,AKIEC,1
ISIC_0025130,AKIEC,1
ISIC_0033494,AKIEC,1
ISIC_0029840,AKIEC,1
ISIC_0026702,AKIEC,1
ISIC_0026194,AKIEC,1
ISIC_0027719,AKIEC,1
ISIC_0031431,AKIEC,1
ISIC_0025957,AKIEC,1
ISIC_0024923,AKIEC,1
ISIC_0028314,AKIEC,1
ISIC_0025427,AKIEC,1
ISIC_0033358,AKIEC,1
ISIC_0026327,AKIEC,1
ISIC_0024771,AKIEC,1
ISIC_0027678,AKIEC,1
ISIC_0030707,AKIEC,1
ISIC_0024418,AKIEC,1
ISIC_0030986,AKIEC,1
ISIC_0029460,AKIEC,1
ISIC_0028393,AKIEC,1
ISIC_0026626,AKIEC,1
ISIC_0029827,AKIEC,1
ISIC_0029811,AKIEC,1
ISIC_0027047,AKIEC,1
ISIC_0029541,AKIEC,1
ISIC_0026083,AKIEC,1
ISIC_0027334,AKIEC,1
ISIC_0027254,AKIEC,1
ISIC_0032455,AKIEC,1
ISIC_0030953,AKIEC,1
ISIC_0026014,AKIEC,1
ISIC_0033295,AKIEC,1
ISIC_0025471,AKIEC,1
ISIC_0030245,AKIEC,1
ISIC_0027767,AKIEC,1
ISIC_0025637,AKIEC,1
ISIC_0029371,AKIEC,1
ISIC_0029563,AKIEC,1
ISIC_0032897,AKIEC,1
ISIC_0031040,AKIEC,1
ISIC_0025539,AKIEC,1
ISIC_0026984,AKIEC,1
ISIC_0026720,AKIEC,1
ISIC_0031430,AKIEC,1
ISIC_0031852,AKIEC,1
ISIC_0033811,AKIEC,1
ISIC_0030714,AKIEC,1
ISIC_0032329,AKIEC,1
ISIC_0031292,AKIEC,1
ISIC_0026525,AKIEC,1
ISIC_0026522,AKIEC,1
ISIC_0028941,AKIEC,1
ISIC_0032135,AKIEC,1
ISIC_0032397,AKIEC,1
ISIC_0033000,AKIEC,1
ISIC_0026171,AKIEC,1
ISIC_0030408,AKIEC,1
ISIC_0031609,AKIEC,1
ISIC_0031823,AKIEC,1
ISIC_0031922,AKIEC,1
ISIC_0031228,AKIEC,1
ISIC_0024710,AKIEC,1
ISIC_0025803,AKIEC,1
ISIC_0029279,AKIEC,1
ISIC_0027708,AKIEC,1
ISIC_0032154,AKIEC,1
ISIC_0024468,AKIEC,1
ISIC_0029634,AKIEC,1
ISIC_0027294,AKIEC,1
ISIC_0027650,AKIEC,1
ISIC_0024562,AKIEC,1
ISIC_0026388,AKIEC,1
ISIC_0026625,AKIEC,1
ISIC_0029659,AKIEC,1
ISIC_0026872,AKIEC,1
ISIC_0024539,AKIEC,1
ISIC_0027802,AKIEC,1
ISIC_0024463,AKIEC,1
ISIC_0031738,AKIEC,1
ISIC_0029713,AKIEC,1
ISIC_0030821,AKIEC,1
ISIC_0025331,AKIEC,1
ISIC_0027700,AKIEC,1
ISIC_0030242,AKIEC,1
ISIC_0024948,AKIEC,1
ISIC_0032854,AKIEC,1
ISIC_0027506,AKIEC,1
ISIC_0027829,AKIEC,1
ISIC_0025358,AKIEC,1
ISIC_0030794,AKIEC,1
ISIC_0027930,AKIEC,1
ISIC_0026549,AKIEC,1
ISIC_0030463,AKIEC,1
ISIC_0029830,AKIEC,1
ISIC_0033705,AKIEC,1
ISIC_0032014,AKIEC,1
ISIC_0025696,AKIEC,1
ISIC_0030803,AKIEC,1
ISIC_0032173,AKIEC,1
ISIC_0028370,AKIEC,1
ISIC_0027884,AKIEC,1
ISIC_0025780,AKIEC,1
ISIC_0029210,AKIEC,1
ISIC_0026466,AKIEC,1
ISIC_0029715,AKIEC,1
ISIC_0031874,AKIEC,1
ISIC_0028730,AKIEC,1
ISIC_0029582,AKIEC,1
ISIC_0029360,AKIEC,1
ISIC_0027529,AKIEC,1
ISIC_0033860,DF,2
ISIC_0028346,DF,2
ISIC_0027648,DF,2
ISIC_0030011,DF,2
ISIC_0027107,DF,2
ISIC_0025154,DF,2
ISIC_0027044,DF,2
ISIC_0031799,DF,2
ISIC_0025903,DF,2
ISIC_0026473,DF,2
ISIC_0033005,DF,2
ISIC_0029824,DF,2
ISIC_0026254,DF,2
ISIC_0033695,DF,2
ISIC_0029297,DF,2
ISIC_0028735,DF,2
ISIC_0027188,DF,2
ISIC_0026417,DF,2
ISIC_0024994,DF,2
ISIC_0025373,DF,2
ISIC_0031429,DF,2
ISIC_0032613,DF,2
ISIC_0027613,DF,2
ISIC_0024845,DF,2
ISIC_0024318,DF,2
ISIC_0024386,DF,2
ISIC_0031827,DF,2
ISIC_0032410,DF,2
ISIC_0031457,DF,2
ISIC_0025911,DF,2
ISIC_0033808,DF,2
ISIC_0033675,DF,2
ISIC_0032468,DF,2
ISIC_0031735,DF,2
ISIC_0031443,DF,2
ISIC_0025771,DF,2
ISIC_0032138,DF,2
ISIC_0033847,DF,2
ISIC_0025314,DF,2
ISIC_0033422,DF,2
ISIC_0034135,DF,2
ISIC_0029052,DF,2
ISIC_0034169,DF,2
ISIC_0025980,DF,2
ISIC_0027876,DF,2
ISIC_0026471,DF,2
ISIC_0031271,DF,2
ISIC_0027626,DF,2
ISIC_0032247,DF,2
ISIC_0025954,DF,2
ISIC_0033891,DF,2
ISIC_0027008,DF,2
ISIC_0031309,DF,2
ISIC_0030870,DF,2
ISIC_0026629,DF,2
ISIC_0025668,DF,2
ISIC_0032114,DF,2
ISIC_0025302,DF,2
ISIC_0029578,DF,2
ISIC_0030442,DF,2
ISIC_0025594,DF,2
ISIC_0027727,DF,2
ISIC_0025223,DF,2
ISIC_0033554,DF,2
ISIC_0029783,DF,2
ISIC_0030830,DF,2
ISIC_0030757,DF,2
ISIC_0029962,DF,2
ISIC_0027745,DF,2
ISIC_0027051,NV,3
ISIC_0029079,NV,3
ISIC_0030569,NV,3
ISIC_0027283,NV,3
ISIC_0034174,NV,3
ISIC_0029246,NV,3
ISIC_0028324,NV,3
ISIC_0028371,NV,3
ISIC_0026741,NV,3
ISIC_0029767,NV,3
ISIC_0028805,NV,3
ISIC_0033374,NV,3
ISIC_0031143,NV,3
ISIC_0029803,NV,3
ISIC_0025438,NV,3
ISIC_0026440,NV,3
ISIC_0026640,NV,3
ISIC_0031870,NV,3
ISIC_0026939,NV,3
ISIC_0033935,NV,3
ISIC_0030713,NV,3
ISIC_0025051,NV,3
